1,4223300
2,3936100
3,3727300
4,6483000
5,11434600
6,11515600
7, 6272800
8, 4328600
9, 3924000
10, 4040200
11, 6242400
12, 11714300
13, 11264500
14, 6884700
15, 3972900
16, 4052200
17, 4280700
18, 6298000
19, 11521100
20, 10750800
21, 6541000
22, 4264000
23, 4131700
24, 4018200
25, 6668100
26, 11461400
27, 11634600
28, 6931200
29, 4285400
30, 4341700
31, 4727600
32, 6851400
33, 12038300
34, 11620900
35, 6782500
36, 4233100
37, 3911500
38, 3898200
39, 6563400
40, 10851300
41, 11775000
42, 6127800
43, 4365800
44, 4502700
45, 4504400
46, 6289500
47, 12142200
48, 11082500
49, 6493800
50, 4085500
51, 3986600
52, 4057400
53, 6356000
54, 12298200
55, 11200200
56, 6524900
